rollout/success_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,-2.8957137099999994,4040,77,51,6.91,628,4.421652793884277,10.074199676513672,0.009999999776482582,0.0003,3039,,,
0.0,-3.3078561899999994,4080,78,51,7.15,632,4.910938262939453,9.724546432495117,0.009999999776482582,0.0003,3079,,,
0.0,-3.23139692,4121,79,51,7.16,636,4.86947774887085,9.542516708374023,0.009999999776482582,0.0003,3120,,,
0.0,-3.2087280400000004,4149,79,52,7.16,640,5.169995307922363,9.437509536743164,0.009999999776482582,0.0003,3148,,,
0.0,-3.1072292500000005,4177,80,52,7.28,644,5.384261131286621,8.875272750854492,0.009999999776482582,0.0003,3176,,,
0.0,-3.28692895,4217,80,52,7.4,648,5.38156270980835,8.142436981201172,0.009999999776482582,0.0003,3216,,,
0.0,-3.0922895599999998,4258,81,52,7.38,652,4.970647811889648,10.63236141204834,0.009999999776482582,0.0003,3257,,,
0.0,-3.4912764099999998,4286,82,52,7.5,656,3.567180871963501,9.955694198608398,0.009999999776482582,0.0003,3285,,,
0.0,-3.2347928300000013,4326,83,52,7.62,660,5.071369647979736,11.820953369140625,0.009999999776482582,0.0003,3325,,,
0.0,-2.7847551800000003,4342,83,52,7.49,664,5.53508996963501,8.79185962677002,0.009999999776482582,0.0003,3341,,,
0.0,-3.1053442700000007,4370,83,52,7.49,668,5.288333892822266,8.821762084960938,0.009999999776482582,0.0003,3369,,,
0.0,-3.0671472,4398,84,52,7.49,672,5.039373874664307,9.622095108032227,0.009999999776482582,0.0003,3397,,,
0.0,-2.8576295600000003,4427,85,52,7.42,676,4.999542236328125,10.229941368103027,0.009999999776482582,0.0003,3426,,,
0.0,-2.8482015300000008,4455,85,52,7.42,680,5.903614044189453,9.520606994628906,0.009999999776482582,0.0003,3454,,,
0.0,-2.840471670000001,4483,86,52,7.3,684,4.971231937408447,11.631317138671875,0.009999999776482582,0.0003,3482,,,
0.0,-2.6475922599999997,4511,86,52,7.18,688,4.832623481750488,8.118159294128418,0.009999999776482582,0.0003,3510,,,
0.0,-2.91211405,4527,86,52,7.17,692,6.010174751281738,10.005598068237305,0.009999999776482582,0.0003,3526,,,
0.0,-2.8355210900000003,4557,87,52,7.18,696,6.9468889236450195,9.046823501586914,0.009999999776482582,0.0003,3556,,,
0.0,-2.4687512,4598,88,52,7.31,700,6.673011302947998,9.010992050170898,0.009999999776482582,0.0003,3597,,,
0.0,-2.82910557,4638,88,52,7.55,704,6.088955879211426,8.634869575500488,0.009999999776482582,0.0003,3637,,,
0.0,-2.5912473599999992,4656,89,52,7.44,708,6.16791296005249,10.003679275512695,0.009999999776482582,0.0003,3655,,,
0.0,-2.7936142599999996,4697,89,52,7.57,712,7.154262065887451,8.255373001098633,0.009999999776482582,0.0003,3696,,,
0.0,-2.77883245,4715,90,52,7.35,716,6.628157138824463,8.423416137695312,0.009999999776482582,0.0003,3714,,,
0.0,-3.2130631200000006,4757,90,52,7.49,720,5.026481628417969,8.209437370300293,0.009999999776482582,0.0003,3756,,,
0.0,-3.9054596599999996,4787,91,52,7.63,724,6.346771717071533,9.676843643188477,0.009999999776482582,0.0003,3786,,,
0.0,-4.0547273399999995,4816,92,52,7.76,728,5.309854507446289,10.379816055297852,0.009999999776482582,0.0003,3815,,,
0.0,-3.9845325299999996,4834,92,52,7.54,732,6.483306884765625,8.507692337036133,0.009999999776482582,0.0003,3833,,,
0.0,-4.2178919399999995,4887,93,52,7.66,736,6.573930740356445,8.407800674438477,0.009999999776482582,0.0003,3886,,,
